Prescriber Zip Code	Plan Provider ID	Year	Month	Product Family	Rx New	Rx Refill	Rx Total	Tablets New	Tablets Total	Tablets Refill
10019	13670202.00	2010.00	201006.00	NASONEX	1.03	0.00	1.03	17.51	17.51	0.00
10025	13670202.00	2011.00	201103.00	NASONEX	2.054	0.00	2.054	34.93	34.93	0.00
10524	13670202.00	2010.00	201011.00	NASONEX	1.081	0.00	1.081	18.37	18.37	0.00
13502	13670202.00	2010.00	201011.00	NASONEX	1.065	0.00	1.065	18.1	18.1	0.00
13827	13670202.00	2010.00	201009.00	NASONEX	10.061	0.00	10.061	171.00	171.00	0.00
14217	13670202.00	2010.00	201008.00	NASONEX	2.398	0.00	2.398	40.77	40.77	0.00
14228	13670202.00	2011.00	201102.00	NASONEX	1.022	0.00	1.022	17.38	17.38	0.00
10019	13670202.00	2010.00	201010.00	NASONEX	5.19	0.00	5.19	88.22	88.22	0.00
10019	13670202.00	2011.00	201102.00	NASONEX	1.05	0.00	1.05	17.84	17.84	0.00
10025	13670202.00	2010.00	201011.00	NASONEX	1.048	0.00	1.048	17.81	17.81	0.00
10029	13670202.00	2010.00	201010.00	NASONEX	1.074	0.00	1.074	18.26	18.26	0.00
10451	13670202.00	2010.00	201009.00	NASONEX	0.00	2.76	2.76	0.00	46.93	46.93
10983	13670202.00	2010.00	201012.00	NASONEX	3.258	0.00	3.258	55.37	55.37	0.00
12206	13670202.00	2010.00	201008.00	NASONEX	2.013	1.006	3.019	34.22	51.32	17.1
13165	13670202.00	2010.00	201012.00	NASONEX	2.399	0.00	2.399	40.79	40.79	0.00
13210	13670202.00	2010.00	201005.00	NASONEX	1.04	0.00	1.04	17.67	17.67	0.00
13304	13670202.00	2010.00	201009.00	NASONEX	1.02	0.00	1.02	17.34	17.34	0.00
13827	13670202.00	2010.00	201008.00	NASONEX	4.084	0.00	4.084	69.42	69.42	0.00
13827	13670202.00	2010.00	201010.00	NASONEX	2.051	0.00	2.051	34.87	34.87	0.00
13827	13670202.00	2010.00	201011.00	NASONEX	2.012	0.00	2.012	34.2	34.2	0.00
14150	13670202.00	2010.00	201008.00	NASONEX	1.659	0.00	1.659	28.2	28.2	0.00
14217	13670202.00	2010.00	201010.00	NASONEX	1.191	0.00	1.191	20.24	20.24	0.00
14226	13670202.00	2010.00	201009.00	NASONEX	3.273	0.00	3.273	55.63	55.63	0.00
15102	13670202.00	2010.00	201009.00	NASONEX	1.052	0.00	1.052	17.88	17.88	0.00
15224	13670202.00	2010.00	201009.00	NASONEX	10.731	0.00	10.731	182.45	182.45	0.00
15224	13670202.00	2010.00	201012.00	NASONEX	4.059	0.00	4.059	69.02	69.02	0.00
15904	13670202.00	2010.00	201012.00	NASONEX	3.694	0.00	3.694	62.8	62.8	0.00
16502	13670202.00	2011.00	201106.00	NASONEX	1.103	0.00	1.103	18.75	18.75	0.00
17078	13670202.00	2010.00	201010.00	NASONEX	2.1	0.00	2.1	35.7	35.7	0.00
17078	13670202.00	2010.00	201011.00	NASONEX	1.053	0.00	1.053	17.9	17.9	0.00
17702	13670202.00	2010.00	201010.00	NASONEX	1.01	0.00	1.01	17.16	17.16	0.00
19007	13670202.00	2010.00	201008.00	NASONEX	1.042	0.00	1.042	17.72	17.72	0.00
19007	13670202.00	2010.00	201010.00	NASONEX	1.014	0.00	1.014	17.23	17.23	0.00
19067	13670202.00	2010.00	201010.00	NASONEX	3.121	0.00	3.121	53.05	53.05	0.00
19095	13670202.00	2011.00	201105.00	NASONEX	1.723	0.00	1.723	29.29	29.29	0.00
19095	13670202.00	2011.00	201106.00	NASONEX	1.665	0.00	1.665	28.31	28.31	0.00
19107	13670202.00	2011.00	201103.00	NASONEX	3.191	0.00	3.191	54.24	54.24	0.00
19107	13670202.00	2011.00	201106.00	NASONEX	2.011	0.00	2.011	34.19	34.19	0.00
17078	13670202.00	2010.00	201009.00	NASONEX	1.035	0.00	1.035	17.59	17.59	0.00
17078	13670202.00	2010.00	201012.00	NASONEX	1.922	0.00	1.922	32.68	32.68	0.00
19067	13670202.00	2010.00	201009.00	NASONEX	1.066	0.00	1.066	18.12	18.12	0.00
19067	13670202.00	2010.00	201011.00	NASONEX	1.03	0.00	1.03	17.52	17.52	0.00
19067	13670202.00	2010.00	201012.00	NASONEX	1.005	0.00	1.005	17.09	17.09	0.00
20170	13670202.00	2010.00	201011.00	NASONEX	1.14	0.00	1.14	19.38	19.38	0.00
25701	13670202.00	2011.00	201105.00	NASONEX	1.048	0.00	1.048	17.82	17.82	0.00
26003	13670202.00	2010.00	201009.00	NASONEX	1.208	0.00	1.208	20.54	20.54	0.00
26155	13670202.00	2011.00	201101.00	NASONEX	2.155	0.00	2.155	36.63	36.63	0.00
27804	13670202.00	2010.00	201012.00	NASONEX	1.006	0.00	1.006	17.1	17.1	0.00
28054	13670202.00	2010.00	201012.00	NASONEX	1.015	0.00	1.015	17.25	17.25	0.00
28209	13670202.00	2010.00	201011.00	NASONEX	0.00	2.985	2.985	0.00	50.74	50.74
28210	13670202.00	2010.00	201009.00	NASONEX	10.839	0.00	10.839	184.27	184.27	0.00
28262	13670202.00	2010.00	201010.00	NASONEX	0.982	0.00	0.982	16.69	16.69	0.00
28262	13670202.00	2010.00	201012.00	NASONEX	1.019	0.00	1.019	17.32	17.32	0.00
28273	13670202.00	2010.00	201009.00	NASONEX	5.902	0.00	5.902	100.33	100.33	0.00
28791	13670202.00	2010.00	201010.00	NASONEX	1.611	0.00	1.611	27.38	27.38	0.00
29301	13670202.00	2010.00	201010.00	NASONEX	2.377	0.00	2.377	40.42	40.42	0.00
29303	13670202.00	2010.00	201012.00	NASONEX	1.258	0.00	1.258	21.38	21.38	0.00
29560	13670202.00	2010.00	201009.00	NASONEX	5.119	0.00	5.119	87.03	87.03	0.00
29621	13670202.00	2010.00	201010.00	NASONEX	2.379	0.00	2.379	40.43	40.43	0.00
29621	13670202.00	2010.00	201011.00	NASONEX	5.35	0.00	5.35	90.95	90.95	0.00
29642	13670202.00	2010.00	201010.00	NASONEX	2.232	0.00	2.232	37.96	37.96	0.00
30043	13670202.00	2010.00	201012.00	NASONEX	1.065	0.00	1.065	18.11	18.11	0.00
30504	13670202.00	2010.00	201011.00	NASONEX	4.134	0.00	4.134	70.28	70.28	0.00
31520	13670202.00	2010.00	201011.00	NASONEX	1.01	0.00	1.01	17.17	17.17	0.00
31707	13670202.00	2011.00	201101.00	NASONEX	0.952	0.00	0.952	16.18	16.18	0.00
31794	13670202.00	2010.00	201012.00	NASONEX	1.139	0.00	1.139	19.35	19.35	0.00
31901	13670202.00	2010.00	201010.00	NASONEX	22.393	0.00	22.393	380.7	380.7	0.00
31901	13670202.00	2010.00	201011.00	NASONEX	17.188	0.00	17.188	292.19	292.19	0.00
31904	13670202.00	2010.00	201010.00	NASONEX	1.933	0.00	1.933	32.86	32.86	0.00
14527	13670202.00	2010.00	201012.00	NASONEX	1.247	0.00	1.247	21.2	21.2	0.00
14534	13670202.00	2010.00	201012.00	NASONEX	1.122	0.00	1.122	19.07	19.07	0.00
15216	13670202.00	2010.00	201011.00	NASONEX	1.093	0.00	1.093	18.58	18.58	0.00
15224	13670202.00	2010.00	201006.00	NASONEX	2.243	0.00	2.243	38.14	38.14	0.00
15224	13670202.00	2010.00	201008.00	NASONEX	3.103	0.00	3.103	52.75	52.75	0.00
15224	13670202.00	2010.00	201010.00	NASONEX	5.098	0.00	5.098	86.66	86.66	0.00
15224	13670202.00	2010.00	201011.00	NASONEX	9.099	0.00	9.099	154.69	154.69	0.00
15521	13670202.00	2010.00	201011.00	NASONEX	1.265	0.00	1.265	21.5	21.5	0.00
15601	13670202.00	2010.00	201011.00	NASONEX	1.055	0.00	1.055	17.94	17.94	0.00
16033	13670202.00	2010.00	201008.00	NASONEX	1.07	0.00	1.07	18.19	18.19	0.00
19063	13670202.00	2010.00	201010.00	NASONEX	1.118	0.00	1.118	19.01	19.01	0.00
19095	13670202.00	2011.00	201104.00	NASONEX	1.185	0.00	1.185	20.14	20.14	0.00
19107	13670202.00	2010.00	201010.00	NASONEX	1.031	0.00	1.031	17.52	17.52	0.00
19107	13670202.00	2010.00	201012.00	NASONEX	2.09	0.00	2.09	35.52	35.52	0.00
19348	13670202.00	2010.00	201009.00	NASONEX	2.016	0.00	2.016	34.27	34.27	0.00
19348	13670202.00	2010.00	201011.00	NASONEX	3.076	0.00	3.076	52.29	52.29	0.00
19348	13670202.00	2010.00	201012.00	NASONEX	1.009	0.00	1.009	17.16	17.16	0.00
20020	13670202.00	2011.00	201104.00	NASONEX	1.003	0.00	1.003	17.05	17.05	0.00
20170	13670202.00	2010.00	201012.00	NASONEX	3.174	0.00	3.174	53.94	53.94	0.00
21222	13670202.00	2010.00	201010.00	NASONEX	1.046	0.00	1.046	17.78	17.78	0.00
22030	13670202.00	2010.00	201012.00	NASONEX	1.035	0.00	1.035	17.59	17.59	0.00
22727	13670202.00	2010.00	201012.00	NASONEX	1.255	0.00	1.255	21.33	21.33	0.00
25701	13670202.00	2010.00	201009.00	NASONEX	1.034	0.00	1.034	17.58	17.58	0.00
25701	13670202.00	2010.00	201010.00	NASONEX	1.03	0.00	1.03	17.52	17.52	0.00
27103	13670202.00	2010.00	201011.00	NASONEX	1.749	0.00	1.749	29.73	29.73	0.00
27704	13670202.00	2010.00	201011.00	NASONEX	1.115	0.00	1.115	18.95	18.95	0.00
27804	13670202.00	2010.00	201011.00	NASONEX	2.201	0.00	2.201	37.42	37.42	0.00
28025	13670202.00	2010.00	201009.00	NASONEX	1.121	0.00	1.121	19.06	19.06	0.00
28025	13670202.00	2010.00	201012.00	NASONEX	2.122	0.00	2.122	36.07	36.07	0.00
28075	13670202.00	2010.00	201010.00	NASONEX	2.124	0.00	2.124	36.11	36.11	0.00
28117	13670202.00	2010.00	201010.00	NASONEX	1.093	0.00	1.093	18.58	18.58	0.00
19107	13670202.00	2011.00	201107.00	NASONEX	1.022	0.00	1.022	17.37	17.37	0.00
19348	13670202.00	2010.00	201010.00	NASONEX	1.079	0.00	1.079	18.35	18.35	0.00
19460	13670202.00	2010.00	201011.00	NASONEX	2.107	0.00	2.107	35.8	35.8	0.00
19468	13670202.00	2010.00	201010.00	NASONEX	2.049	0.00	2.049	34.84	34.84	0.00
21222	13670202.00	2010.00	201009.00	NASONEX	1.159	0.00	1.159	19.7	19.7	0.00
22727	13670202.00	2010.00	201009.00	NASONEX	2.292	0.00	2.292	38.96	38.96	0.00
24459	13670202.00	2010.00	201011.00	NASONEX	2.154	0.00	2.154	36.62	36.62	0.00
25701	13670202.00	2011.00	201101.00	NASONEX	1.006	0.00	1.006	17.1	17.1	0.00
27215	13670202.00	2010.00	201010.00	NASONEX	1.601	0.00	1.601	27.22	27.22	0.00
28137	13670202.00	2010.00	201011.00	NASONEX	2.118	0.00	2.118	36.00	36.00	0.00
28202	13670202.00	2010.00	201008.00	NASONEX	1.057	0.00	1.057	17.97	17.97	0.00
28203	13670202.00	2010.00	201011.00	NASONEX	3.1	0.00	3.1	52.71	52.71	0.00
28207	13670202.00	2010.00	201008.00	NASONEX	1.076	0.00	1.076	18.3	18.3	0.00
28210	13670202.00	2010.00	201010.00	NASONEX	1.913	0.00	1.913	32.52	32.52	0.00
28262	13670202.00	2010.00	201008.00	NASONEX	1.058	0.00	1.058	17.98	17.98	0.00
28262	13670202.00	2010.00	201009.00	NASONEX	2.118	0.00	2.118	36.00	36.00	0.00
28358	13670202.00	2010.00	201012.00	NASONEX	1.854	0.00	1.854	31.51	31.51	0.00
29301	13670202.00	2010.00	201009.00	NASONEX	1.178	0.00	1.178	20.03	20.03	0.00
29301	13670202.00	2010.00	201012.00	NASONEX	3.524	0.00	3.524	59.9	59.9	0.00
29307	13670202.00	2010.00	201012.00	NASONEX	1.279	0.00	1.279	21.74	21.74	0.00
29605	13670202.00	2010.00	201011.00	NASONEX	1.242	0.00	1.242	21.11	21.11	0.00
29607	13670202.00	2010.00	201008.00	NASONEX	1.157	0.00	1.157	19.67	19.67	0.00
29642	13670202.00	2010.00	201011.00	NASONEX	1.124	0.00	1.124	19.11	19.11	0.00
29646	13670202.00	2010.00	201010.00	NASONEX	1.351	0.00	1.351	22.97	22.97	0.00
29715	13670202.00	2010.00	201011.00	NASONEX	1.242	0.00	1.242	21.11	21.11	0.00
30062	13670202.00	2010.00	201011.00	NASONEX	1.019	0.00	1.019	17.32	17.32	0.00
30240	13670202.00	2010.00	201011.00	NASONEX	1.882	0.00	1.882	32.00	32.00	0.00
30342	13670202.00	2011.00	201104.00	NASONEX	1.066	0.00	1.066	18.13	18.13	0.00
30504	13670202.00	2011.00	201101.00	NASONEX	0.929	0.00	0.929	15.79	15.79	0.00
