43 2 2 12 2 45 12 0 2 1 0 0 6
30 0 0 15 1 55 12 5 6 0 0 1 2
59 2 4 11 1 100 . 1 4 0 1 1 1
32 0 0 15 2 120 10 1 4 1 1 1 5
32 5 2 14 1 37.5 9 1 3 0 1 0 3
52 0 3 18 . 200 20 3 3 1 1 1 .
42 2 1 16 3 100 . 0 1 0 1 1 6
29 1 0 14 2 82.5 8 0 2 0 1 0 2
81 5 3 12 . 67.5 6 3 4 1 0 1 .
51 1 1 18 2 200 14 5 5 0 1 0 .
24 5 0 17 1 6.5 . 0 2 1 0 0 6
63 7 0 15 3 11.25 16 5 5 1 0 1 6
44 1 0 18 2 82.5 14 1 3 1 0 1 6
56 5 0 18 . 100 . 6 6 1 0 1 .
43 0 1 16 1 200 7 0 4 1 1 0 6
51 0 0 16 2 21.25 16 1 5 0 0 1 6
32 1 0 16 . 23.75 16 2 2 1 0 0 .
47 0 0 20 2 200 16 1 2 1 1 0 6
47 4 0 16 1 100 16 2 4 1 0 0 6
34 3 0 20 2 200 20 3 5 0 1 0 6
69 0 2 16 1 200 10 0 2 0 1 1 6
65 3 0 16 1 200 14 5 7 1 1 1 6
57 3 3 18 . 200 16 3 6 0 0 1 .
24 2 0 16 2 82.5 16 5 5 0 0 1 6
32 0 0 12 3 200 15 6 4 0 0 1 6
51 5 2 14 . 27.5 7 2 4 0 0 1 .
66 0 2 20 2 200 12 0 2 1 1 1 6
51 2 2 16 . 100 14 3 5 1 1 1 .
27 0 0 16 . . 16 3 3 0 1 1 .
39 2 1 20 3 200 14 0 2 1 1 1 6
41 1 3 18 2 200 16 3 6 1 1 0 4
54 2 2 16 1 200 19 1 4 0 1 1 6
58 3 1 16 2 200 16 0 3 1 0 1 6
43 0 3 12 4 32.5 12 3 . 0 1 0 0
55 4 4 6 4 23.75 0 2 6 1 0 0 1
51 0 3 11 . 11.25 . 2 1 0 1 0 .
40 0 1 10 2 1 . 2 2 1 0 0 4
35 2 1 11 4 3.5 . 2 4 1 0 0 0
43 0 0 10 4 1 12 3 . 0 1 0 1
36 2 2 10 2 16.25 . 1 4 1 0 0 3
30 2 3 9 . 11.25 . 0 4 1 0 0 .
56 2 0 10 . 3.5 . 1 4 0 0 0 .
41 4 2 16 1 100 12 1 4 0 1 0 5
25 3 2 12 2 55 . 0 4 0 0 1 .
48 8 0 14 2 55 12 3 . 1 0 0 0
45 7 1 15 . 140 . 5 4 0 0 1 .
72 6 5 12 4 21.25 . 3 4 1 1 0 0
27 3 0 16 1 140 18 0 3 1 1 0 6
24 0 2 8 . 32.5 20 3 4 1 0 1 .
40 3 3 15 . 21.25 12 1 4 1 0 0 .
26 6 0 14 2 45 . 1 5 1 0 0 6
28 7 1 13 2 13.75 7 1 4 1 0 0 2
37 8 2 12 2 37.5 14 2 6 1 0 0 4
. 5 1 17 2 . . . 4 1 . 0 6
62 7 8 11 . . 12 0 7 0 0 0 .
43 7 3 13 . 100 12 0 1 1 0 0 .
32 0 0 18 . 82.5 . 2 2 0 0 1 .
65 7 3 12 1 27.5 . 0 6 1 0 0 6
