242,3,0,2,1,5,3,3,2,0,7,3,0,2,0,4,3,2,2,0,1
250,2,0,2,1,12,3,.,2,.,13,3,.,2,.,8.42099952697754,3,0,2,1,0
251,3,1,2,1,7,3,2,2,1,5,3,0,1,1,8,3,2,1,1,1
253,2,0,3,0,5,3,2,2,0,20,3,0,3,0,13,3,2,2,0,3
261,3,0,3,1,35.7890014648438,1,0,4,0,24,3,2,3,0,17,3,2,3,1,7
263,3,0,3,1,16,3,1,2,0,7,3,1,2,0,12,3,2,2,1,3
265,3,0,2,1,9,3,.,3,.,23,.,.,.,.,.,.,.,.,0,.
266,3,0,3,1,23.1580009460449,3,4,2,0,21,3,2,2,1,12,3,2,2,1,0
269,3,0,3,1,30,0,.,3,0,30.5259990692139,2,2,3,0,10,2,2,4,0,1
271,2,0,3,0,18,0,.,.,.,.,.,.,.,.,.,0,.,3,0,.
273,3,0,2,1,12,3,0,2,1,7,3,1,1,1,6,3,0,1,1,0
275,3,0,3,0,19,0,.,.,.,.,0,4,.,0,.,3,.,2,0,.
288,3,0,3,1,24,3,5,3,1,10,3,0,2,1,19,3,2,2,0,12
291,3,0,4,0,37,1,5,3,0,27,.,.,.,.,.,0,0,3,0,5
293,3,0,3,0,12,0,.,.,0,.,.,.,.,0,.,.,.,.,0,.
300,3,0,3,1,16,3,0,2,0,11,3,1,2,1,11,3,0,2,1,6
304,0,0,.,1,.,1,0,2,0,13,.,.,.,0,.,.,.,.,0,.
305,2,1,2,1,15,1,0,2,0,7,0,.,.,0,.,0,.,2,0,.
309,3,0,2,0,11,2,0,3,0,10,2,5,3,0,16,2,.,3,0,.
312,0,0,.,1,.,0,0,.,0,.,3,0,3,0,5,2,.,3,0,.
319,3,0,3,1,31,2,.,3,0,25,3,5,1,1,23,3,2,2,0,10
320,3,0,2,1,6,1,1,2,0,9,2,2,3,0,11,3,2,2,1,1
323,0,0,.,1,.,2,0,2,0,7,0,0,.,0,.,2,0,2,1,4
326,3,0,3,1,22,2,0,2,0,28,0,0,.,0,.,3,2,2,0,8
330,3,0,4,1,21,0,0,.,0,.,0,0,.,0,.,.,.,.,0,.
334,3,0,2,0,8,0,.,.,.,.,3,0,2,0,12,3,0,2,0,0
335,3,0,3,1,18,3,0,3,0,18,3,0,3,1,13,3,0,3,1,8.42099952697754
338,3,0,2,1,20,3,2,2,0,12,3,0,2,1,5,3,0,1,1,1
346,3,0,2,1,14,1,.,2,.,13,.,.,.,.,.,0,.,3,0,.
355,3,0,2,1,17,3,0,2,0,12,3,0,3,1,11,3,6,2,1,1
356,3,0,4,1,27,3,6,3,0,27,3,0,2,0,10,3,0,3,0,0
357,3,0,4,1,25,0,6,.,1,.,.,.,.,.,.,.,.,.,0,.
360,3,0,4,1,28,3,0,2,0,17,3,0,2,0,19,3,2,3,0,10
361,3,0,3,0,9,2,0,2,0,19,3,0,2,0,15,3,0,2,0,1
362,3,0,3,1,24,3,0,4,0,26,3,0,4,0,26,3,2,4,1,12
365,2,0,3,1,28,1,0,3,0,21,0,4,.,0,.,0,.,4,0,.
366,3,1,3,1,7,3,0,2,0,5,3,0,2,0,9,3,0,1,0,0
369,3,0,4,1,42,0,.,.,.,.,.,.,.,.,.,1,.,4,0,.
370,3,0,3,1,12,0,0,.,0,.,0,0,.,0,.,0,.,3,0,.
373,3,1,2,1,8,3,0,1,1,6,3,0,1,1,5,3,0,1,1,0
376,3,0,2,1,22,0,.,.,.,.,1,6,2,0,9,2,2,2,0,8
377,3,0,2,1,14,3,0,2,0,14.7370004653931,3,0,3,1,14,3,0,3,1,4
